iter	Passed	Remaining
0	148	148725
1	160	80099
2	172	57344
3	184	45854
4	193	38580
5	204	33891
6	216	30722
7	227	28245
8	238	26252
9	248	24608
10	259	23314
11	270	22253
12	282	21444
13	295	20824
14	307	20178
15	317	19550
16	328	19000
17	341	18650
18	351	18142
19	361	17695
20	370	17293
21	380	16910
22	390	16606
23	401	16327
24	410	16011
25	419	15718
26	429	15461
27	439	15242
28	448	15019
29	459	14853
30	469	14677
31	479	14502
32	488	14326
33	497	14142
34	507	13981
35	516	13822
36	525	13677
37	534	13525
38	542	13365
39	550	13221
40	559	13088
41	568	12964
42	577	12846
43	585	12727
44	594	12606
45	602	12504
46	611	12399
47	620	12316
48	629	12213
49	638	12132
50	647	12039
51	656	11966
52	667	11926
53	679	11908
54	694	11929
55	707	11922
56	718	11882
57	727	11810
58	738	11773
59	747	11713
60	756	11652
61	766	11592
62	775	11538
63	785	11482
64	793	11418
65	803	11364
66	812	11311
67	821	11257
68	830	11202
69	840	11160
70	849	11119
71	859	11078
72	868	11034
73	877	10984
74	886	10936
75	895	10889
76	904	10839
77	912	10783
78	920	10733
79	929	10689
80	938	10645
81	946	10596
82	955	10553
83	963	10508
84	971	10457
85	979	10411
86	988	10369
87	996	10330
88	1006	10298
89	1014	10255
90	1021	10208
91	1030	10170
92	1038	10129
93	1047	10092
94	1054	10047
95	1063	10012
96	1071	9979
97	1080	9946
98	1088	9907
99	1097	9878
100	1106	9845
101	1114	9809
102	1122	9771
103	1130	9736
104	1137	9699
105	1146	9668
106	1155	9640
107	1163	9605
108	1171	9575
109	1179	9542
110	1187	9508
111	1195	9482
112	1204	9454
113	1212	9423
114	1222	9410
115	1232	9392
116	1240	9359
117	1249	9335
118	1257	9307
119	1266	9288
120	1276	9269
121	1284	9247
122	1293	9221
123	1301	9196
124	1311	9178
125	1321	9165
126	1331	9154
127	1342	9142
128	1351	9127
129	1363	9125
130	1374	9117
131	1383	9095
132	1391	9073
133	1400	9051
134	1409	9032
135	1419	9017
136	1428	8996
137	1437	8979
138	1446	8960
139	1455	8940
140	1464	8923
141	1474	8910
142	1484	8893
143	1494	8881
144	1503	8864
145	1513	8850
146	1522	8835
147	1530	8812
148	1540	8797
149	1549	8782
150	1560	8771
151	1569	8754
152	1578	8737
153	1586	8717
154	1595	8699
155	1605	8685
156	1614	8670
157	1624	8655
158	1633	8641
159	1644	8631
160	1652	8612
161	1661	8594
162	1669	8572
163	1677	8551
164	1685	8530
165	1694	8512
166	1702	8490
167	1710	8471
168	1718	8449
169	1726	8430
170	1734	8410
171	1742	8388
172	1750	8366
173	1757	8344
174	1765	8322
175	1772	8299
176	1780	8279
177	1788	8258
178	1795	8237
179	1803	8215
180	1811	8194
181	1818	8173
182	1826	8152
183	1833	8130
184	1841	8111
185	1849	8093
186	1857	8076
187	1864	8054
188	1872	8035
189	1880	8018
190	1888	8000
191	1898	7989
192	1907	7978
193	1917	7965
194	1925	7948
195	1934	7934
196	1943	7921
197	1951	7906
198	1961	7894
199	1969	7878
200	1978	7865
201	1987	7851
202	1995	7833
203	2003	7816
204	2011	7798
205	2018	7778
206	2025	7760
207	2032	7740
208	2040	7722
209	2047	7704
210	2055	7686
211	2063	7668
212	2070	7651
213	2078	7633
214	2085	7615
215	2093	7597
216	2100	7580
217	2108	7563
218	2117	7549
219	2125	7534
220	2133	7518
221	2142	7506
222	2149	7490
223	2158	7476
224	2165	7460
225	2174	7445
226	2181	7430
227	2190	7417
228	2199	7404
229	2207	7391
230	2216	7378
231	2224	7365
232	2232	7348
233	2240	7333
234	2248	7318
235	2256	7304
236	2263	7287
237	2271	7274
238	2279	7259
239	2288	7247
240	2296	7233
241	2304	7217
242	2311	7200
243	2319	7185
244	2326	7170
245	2334	7156
246	2342	7139
247	2349	7124
248	2357	7109
249	2364	7093
250	2371	7078
251	2379	7062
252	2386	7045
253	2393	7029
254	2400	7013
255	2407	6996
256	2414	6980
257	2422	6965
258	2429	6951
259	2437	6937
260	2444	6922
261	2452	6908
262	2460	6894
263	2467	6880
264	2475	6866
265	2482	6850
266	2489	6835
267	2497	6820
268	2504	6804
269	2511	6790
270	2518	6774
271	2526	6760
272	2534	6748
273	2542	6737
274	2551	6725
275	2559	6712
276	2567	6701
277	2575	6689
278	2584	6678
279	2592	6665
280	2600	6652
281	2607	6639
282	2616	6627
283	2623	6615
284	2631	6601
285	2639	6588
286	2646	6574
287	2653	6559
288	2660	6545
289	2667	6531
290	2674	6516
291	2682	6504
292	2689	6490
293	2697	6478
294	2705	6465
295	2713	6454
296	2720	6440
297	2729	6429
298	2736	6416
299	2744	6403
300	2751	6389
301	2759	6376
302	2766	6364
303	2774	6351
304	2781	6338
305	2789	6325
306	2796	6312
307	2804	6299
308	2810	6285
309	2818	6272
310	2825	6258
311	2832	6245
312	2839	6231
313	2846	6219
314	2853	6205
315	2860	6192
316	2868	6179
317	2875	6167
318	2882	6154
319	2890	6141
320	2898	6130
321	2905	6118
322	2913	6106
323	2920	6093
324	2928	6081
325	2936	6070
326	2944	6059
327	2951	6047
328	2959	6035
329	2967	6024
330	2974	6012
331	2981	5999
332	2989	5987
333	2996	5974
334	3003	5961
335	3011	5950
336	3019	5940
337	3027	5928
338	3035	5919
339	3043	5908
340	3052	5899
341	3060	5888
342	3068	5877
343	3076	5867
344	3085	5857
345	3093	5846
346	3100	5834
347	3108	5823
348	3115	5812
349	3123	5800
350	3131	5789
351	3138	5778
352	3146	5766
353	3153	5755
354	3161	5744
355	3168	5732
356	3177	5722
357	3184	5711
358	3192	5700
359	3200	5689
360	3207	5677
361	3214	5666
362	3222	5654
363	3229	5642
364	3236	5630
365	3243	5618
366	3251	5607
367	3258	5595
368	3265	5584
369	3273	5573
370	3281	5562
371	3288	5552
372	3296	5540
373	3303	5528
374	3310	5517
375	3317	5506
376	3325	5495
377	3332	5483
378	3340	5473
379	3348	5462
380	3356	5452
381	3363	5442
382	3372	5432
383	3380	5422
384	3387	5411
385	3395	5401
386	3402	5390
387	3410	5379
388	3418	5370
389	3426	5359
390	3434	5349
391	3441	5338
392	3449	5327
393	3456	5316
394	3463	5305
395	3471	5294
396	3478	5283
397	3485	5272
398	3493	5261
399	3501	5251
400	3508	5241
401	3516	5230
402	3523	5219
403	3530	5208
404	3538	5198
405	3545	5187
406	3552	5176
